Model Year,Brand Name,Model Name,Engine capacity,Spare key,Transmission,KM driven,Ownership,Fuel type,Imperfections,Repainted Parts
2016,Maruti,Swift Dzire ZXI,1197,Yes,Manual,38023,1,Petrol,10,1
2013,Maruti,Swift Dzire VXI REGAL EDITION,1197,Yes,Manual,52178,2,Petrol,0,0
2021,Maruti,S PRESSO VXI+,998,Yes,Manual,18842,2,Petrol,9,0
2023,Maruti,BREZZA ZXI SMART HYBRID,1462,Yes,Manual,18693,1,Petrol,1,1
2018,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,92102,1,Petrol,4,1
2022,Maruti,Celerio VXI CNG,998,Yes,Manual,48731,1,CNG,3,0
2013,Maruti,Alto 800 LXI,796,No,Manual,56113,2,Petrol,15,9
2020,Maruti,Dzire ZXI PLUS AMT,1197,Yes,Automatic,32142,1,Petrol,8,4
2022,Maruti,BREZZA ZXI SMART HYBRID,1462,Yes,Manual,23690,1,Petrol,0,0
2016,Maruti,Celerio VXI AMT,998,No,Automatic,32899,2,Petrol,25,8
2018,Maruti,Baleno ALPHA CVT PETROL 1.2,1197,Yes,Automatic,43363,1,Petrol,12,4
2019,Maruti,Alto K10 VXI,998,No,Manual,47066,2,Petrol,7,3
2019,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,1462,No,Automatic,55281,1,Petrol,3,4
2022,Maruti,Baleno ALPHA PETROL 1.2,1197,No,Manual,31283,1,Petrol,10,4
2014,Maruti,Swift ZXI,1197,Yes,Manual,48194,1,Petrol,10,5
2016,Maruti,Swift VDI,1248,Yes,Manual,61992,1,Diesel,8,0
2020,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,1462,No,Manual,50172,1,Petrol,7,4
2020,Maruti,IGNIS DELTA 1.2,1197,No,Manual,77633,1,Petrol,8,1
2019,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,31968,1,Petrol,2,1
2016,Maruti,Alto K10 VXI AMT,998,No,Automatic,85292,1,Petrol,5,9
2019,Maruti,Alto LXI,796,Yes,Manual,31475,1,Petrol,10,1
2017,Maruti,Alto 800 VXI O,796,No,Manual,92881,1,Petrol,0,0
2022,Maruti,Baleno ZETA PETROL 1.2,1197,No,Manual,33086,1,Petrol,0,0
2014,Maruti,Alto 800 LXI,796,No,Manual,92533,2,Petrol,0,0
2021,Maruti,Dzire VXI AMT,1197,Yes,Automatic,49950,1,Petrol,3,4
2017,Maruti,IGNIS DELTA 1.2,1197,Yes,Manual,85064,1,Petrol,13,1
2016,Maruti,Celerio VXI AMT,998,No,Automatic,69973,2,Petrol,6,2
2017,Maruti,IGNIS DELTA 1.2,1197,No,Manual,77579,2,Petrol,4,4
2019,Maruti,Baleno ALPHA PETROL 1.2,1197,No,Manual,73813,2,Petrol,16,10
2018,Maruti,Celerio VXI AMT (O),998,No,Automatic,69185,1,Petrol,0,0
2014,Maruti,Swift Dzire VXI,1197,No,Manual,62067,1,Petrol,35,8
2012,Maruti,Swift VXI,1197,Yes,Manual,71115,3,Petrol,0,0
2020,Maruti,Dzire ZXI AMT,1197,Yes,Automatic,15435,1,Petrol,2,1
2017,Maruti,Ciaz ZETA DIESEL 1.3,1248,No,Manual,101069,2,Diesel,10,9
2020,Maruti,Celerio VXI (O),998,No,Manual,28358,1,Petrol,7,2
2019,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,11957,2,Petrol,7,0
2013,Maruti,Alto 800 LXI,796,Yes,Manual,48658,2,Petrol,2,4
2015,Maruti,Wagon R 1.0 VXI,998,No,Manual,90358,3,Petrol,5,3
2011,Maruti,Alto K10 VXI,998,Yes,Manual,72134,1,Petrol,21,6
2020,Maruti,Alto LXI,796,Yes,Manual,13485,1,Petrol,6,1
2015,Maruti,Wagon R 1.0 VXI,998,No,Manual,43791,3,Petrol,2,3
2015,Maruti,Celerio ZXI AMT,998,Yes,Automatic,75112,1,Petrol,6,4
2018,Maruti,Ciaz ALPHA 1.4 PETROL,1373,Yes,Manual,98119,1,Petrol,16,7
2022,Maruti,Dzire VXI AMT,1197,No,Automatic,52707,2,Petrol,4,5
2014,Maruti,Swift Dzire VXI,1197,No,Manual,55835,1,Petrol,16,6
2020,Maruti,Celerio ZXI AMT,998,Yes,Automatic,47616,2,Petrol,18,5
2017,Maruti,IGNIS DELTA 1.2,1197,No,Manual,70873,1,Petrol,10,0
2020,Maruti,New Wagon-R ZXI 1.2,1197,Yes,Manual,66966,1,Petrol,5,4
2016,Maruti,Wagon R 1.0 VXI,998,No,Manual,63813,2,Petrol,12,9
2013,Maruti,Alto K10 VXI,998,Yes,Manual,70050,2,Petrol,11,6
2019,Maruti,Celerio X ZXI AMT,998,Yes,Automatic,52328,1,Petrol,2,0
2018,Maruti,Celerio ZXI (O),998,Yes,Manual,99649,1,Petrol,2,5
2015,Maruti,Wagon R 1.0 VXI,998,No,Manual,29956,1,Petrol,15,1
2018,Maruti,Wagon R 1.0 VXI AMT,998,No,Automatic,64157,1,Petrol,10,4
2019,Maruti,New Wagon-R VXI 1.2,1197,Yes,Manual,52608,2,Petrol,0,0
2019,Maruti,Baleno ALPHA PETROL 1.2,1197,Yes,Manual,24499,1,Petrol,10,2
2019,Maruti,Celerio ZXI,998,No,Manual,69332,1,Petrol,15,2
2016,Maruti,Baleno DELTA PETROL 1.2,1197,No,Manual,97531,1,Petrol,13,10
2019,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,58448,1,Petrol,4,8
2017,Maruti,Alto K10 VXI (O) AMT,998,Yes,Automatic,67823,2,Petrol,3,3
2015,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,34292,2,Petrol,16,5
2019,Maruti,Baleno ALPHA PETROL 1.2,1197,Yes,Manual,88651,1,Petrol,3,4
2018,Maruti,Celerio X ZXI AMT,998,No,Automatic,68971,2,Petrol,17,3
2023,Maruti,New Wagon-R ZXI 1.2,1197,Yes,Manual,35595,1,Petrol,6,3
2017,Maruti,IGNIS ZETA 1.2 AMT,1197,Yes,Automatic,39347,1,Petrol,5,4
2017,Maruti,Ciaz DELTA 1.4 MT PETROL,1373,Yes,Manual,105815,2,Petrol,15,4
2017,Maruti,IGNIS ZETA 1.2,1197,Yes,Manual,63716,1,Petrol,5,0
2019,Maruti,Alto K10 VXI,998,Yes,Manual,39091,1,Petrol,22,3
2016,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,77225,1,Petrol,19,2
2022,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,1462,No,Manual,23327,1,Petrol,2,0
2022,Maruti,New Wagon-R VXI 1.0,998,Yes,Manual,44382,2,Petrol,3,1
2017,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,66341,1,Petrol,1,3
2018,Maruti,Ciaz ZETA 1.4 AT PETROL,1373,Yes,Automatic,88132,1,Petrol,5,5
2019,Maruti,New Wagon-R VXI 1.0 AMT,998,Yes,Automatic,95456,1,Petrol,14,0
2021,Maruti,S PRESSO VXI+,998,No,Manual,26875,2,Petrol,4,8
2020,Maruti,New Wagon-R VXI 1.2 AMT,1197,Yes,Automatic,50380,2,Petrol,3,0
2023,Maruti,Celerio ZXI AMT,998,Yes,Automatic,17447,1,Petrol,1,0
2020,Maruti,Alto LXI,796,No,Manual,30292,1,Petrol,24,4
2017,Maruti,Celerio ZXI AMT,998,Yes,Automatic,53241,1,Petrol,2,2
2021,Maruti,Celerio ZXI AMT,998,No,Automatic,24059,1,Petrol,1,2
2020,Maruti,S PRESSO LXI (O) CNG,998,Yes,Manual,80265,1,CNG,2,1
2017,Maruti,Celerio ZXI (O),998,Yes,Manual,51182,2,Petrol,8,4
2022,Maruti,New Wagon-R ZXI 1.2,1197,Yes,Manual,22594,1,Petrol,3,2
2021,Maruti,Alto VXI PLUS,796,Yes,Manual,24463,1,Petrol,15,7
2021,Maruti,Alto LXI O,796,Yes,Manual,26792,1,Petrol,4,0
2016,Maruti,Wagon R 1.0 VXI AMT,998,Yes,Automatic,82834,1,Petrol,12,8
